time to NEB,1i,1ii,2i,2ii,4i,4ii,5,6,7i,7ii,1,3,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8,3i,3ii,4i,4ii,5i,5ii,6,8,9,10,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7,8,9i,9ii,10i,10ii,10iii,11i,11ii
-8820,,,,,,,,,,,,,,,,,,,_blueDark_g,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8760,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8700,,,,,,,,,,,,,,,,,,,_brown_r,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8640,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8580,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,
-8520,,,,,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,,,,,,,
-8460,,,,,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,_blueDark_r,_brownDark_r,,,,,,,,,
-8400,,,,,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,
-8340,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,
-8280,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,
-8220,,,,,,,,,,,,,,,,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,_brownDark_r,_blue_,,,,,,,,,
-8160,,,,,,,,,,,,,_blue_,_blueDark_r,,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,_pink_,_blue_,,,,,,,,,
-8100,,,,,_blueDark_r,_brownDark_r,,,,,,,_blue_,_blueDark_r,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,,,,,,,
-8040,,,,,_blue_,_brownDark_r,,,,,,,_blue_,_brownDark_r,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,
-7980,,,,,_blue_,_brownDark_r,,,,,,,_blueDark_r,_blueDark_r,,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,
-7920,,,,,_blue_,_blueDark_r,,,,,,,_brownDark_r,_blueDark_g,,,,,_blue_,_brownDark_r,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,
-7860,,,,,_blue_,_brownDark_r,,,,,,,_brownDark_r,_blue_,,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,
-7800,,,,,_blue_,_blueDark_r,,,,,,,_blue_,_blueDark_r,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,,,,,,,
-7740,,,,,_blue_,_blueDark_r,,,,,,,_blue_,_blue_,,,,,_blue_,_brownDark_r,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,,,,,,,
-7680,,,,,_blueDark_r,_blue_,,,,,,,_blueDark_r,_blue_,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blueDark_r,,,,,,,,_blueDark_r,_blueDark_r
-7620,,,,,_blueDark_r,_blue_,,,,,,,_blue_,_blue_,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blueDark_g,_blue_
-7560,,,,,_blue_,_blue_,,,,,,,_brown_r,_blueDark_r,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blue_
-7500,,,,,_blue_,_blue_,,,,,,,_blueDark_r,_blue_,,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blue_
-7440,,,,,_blue_,_blue_,,,,,,,_brownDark_r,_brownDark_r,,,,,_blue_,_pink_,,,,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blue_
-7380,,,,,_blue_,_blueDark_r,,,,,,,_blueDark_r,_blue_,,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,_blue_
-7320,,,,,_blue_,_blueDark_r,,,,,,,_blueDark_r,_blueDark_r,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,_pink_,,,,,,,,_blueDark_r,_blue_
-7260,,,,,_blue_,_blueDark_r,,,,,,,_blue_,_blueDark_r,,,,,_blueDark_r,_blueDark_r,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blue_
-7200,,,,,_blue_,_blueDark_r,,,,,,,_blueDark_r,_blueDark_r,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blueDark_r,_blue_
-7140,,,,,_blue_,_blue_,,,,,,,_brownDark_r,_blue_,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,_blueDark_r,_blue_
-7080,,,,,_blue_,_blue_,,,,,,,_brownDark_r,_blueDark_r,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,_pink_,,,,,,,,_blueDark_g,_blueDark_r
-7020,,,,,_blue_,_blue_,,,,,,,_blue_,_brownDark_r,,,,,_brownDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,_blue_,_brown_r
-6960,,,,,_blue_,_blue_,,,,,,,_brownDark_r,_brownDark_r,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blueDark_r
-6900,,,,,_blue_,_blue_,,,,,,,_blueDark_r,_brownDark_r,,,,,_blueDark_r,_blueDark_r,,,,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blueDark_g,_blueDark_r
-6840,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_blueDark_r,,,,,_brownDark_r,_brownDark_r,,,,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blue_
-6780,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_blueDark_r,,,,,_blueDark_r,_brown_r,,,,,,,,,,,,,,,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,_pink_
-6720,,,_blue_,_blue_,_blue_,_blueDark_r,,,,,,,_blue_,_blue_,,,,,_blue_,_brown_r,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blueDark_r,,,,,,,,_blueDark_r,_blueDark_r
-6660,,,_blueDark_r,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_blueDark_r,,,,,_blue_,_brownDark_r,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,_blue_,_blue_
-6600,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_brownDark_r,_blue_,,,,,_blueDark_r,_blueDark_r,,,,,,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blueDark_g,_blueDark_g
-6540,,,_blue_,_blue_,_blueDark_r,_blue_,,,,,,,_blueDark_r,_brownDark_r,,,,,_blue_,_blueDark_r,,,,_blueDark_r,_pink_,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,,,,,,_blue_,_pink_
