time to NEB,1,2i,2ii,3i,3ii,4,5i,5ii,2,4,5i,5ii,6,7i,7ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii
-8520,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8460,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8400,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8340,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8280,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8220,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8160,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8100,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8040,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7980,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7920,,_pink_,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,
-7860,,_brownDark_g,_pink_,,,,,,,,,,,,,,,,,,,,,,,,
-7800,,_pink_,_pink_,,,,,,,,,,,,,,,,,,,,,,,,
-7740,,_pink_,_blueDark_g,,,,,,,,,,,,,,,,,,,,,,,,
-7680,,_pink_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,
-7620,,_pinkDark_,_blueDark_g,,,,,,,,,,,,,,,,,,,,,,,,
-7560,,_blueDark_r,_blueDark_g,,,,,,,,,,,,,,,,,,,,,,,,
-7500,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,
-7440,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,,,,,,
-7380,,_blueDark_r,_brownDark_r,,,,,,,,,,,,,,,,,,,,,,,,
-7320,,_blueDark_r,_pink_,,,,,,,,,,,,,,,,,,,,,,,,
-7260,,_blueDark_r,_pink_,,,,,,,,,,,,,,,,,,,,,,,,
-7200,,_pink_,_pink_,,,,,,,,,,,,,,,,,,,,,,,,
-7140,,_blueDark_r,_pink_,,,,,,,,,,,,,,,,,,,_brownDark_r,_brownDark_r,,,,
-7080,,_brown_r,_pink_,,,,_blue_,_brownDark_r,,,,,,,,,,,,,,_brownDark_r,_brownDark_r,,,_blueDark_r,_brownDark_r
-7020,,_blue_,_pink_,,,,_blue_,_brownDark_r,,,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,_blue_,_brownDark_r
-6960,,_blue_,_pink_,,,,_blue_,_blue_,,,,,,,,,,,,,,_brownDark_r,_brownDark_r,,,_blueDark_r,_brownDark_r
-6900,,_blueDark_r,_pink_,,,,_blue_,_blue_,,,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,_blue_,_pink_
-6840,,_blueDark_r,_pink_,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,_blueDark_r,_brownDark_r,,,_blue_,_brownDark_r
-6780,,_blue_,_pink_,,,,_blue_,_brownDark_r,,,,,,,,,,,,,,_brownDark_r,_brownDark_r,,,_blueDark_g,_pink_
-6720,,_blue_,_brownDark_r,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,_blue_,_brownDark_r
-6660,,_blueDark_r,_brownDark_r,,,,_blue_,_blue_,,,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,_blueDark_r,_brownDark_r
-6600,,_brownDark_r,_blueDark_r,,,,_blue_,_blue_,,,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,_blue_,_brownDark_r
-6540,,_brownDark_r,_pink_,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,_blue_,_blueDark_r
-6480,,_blueDark_r,_pink_,,,,_blue_,_blue_,,_brownDark_r,,,,,,,,,,,,_brownDark_r,,,,_blue_,_blueDark_r
-6420,,_blueDark_r,_pink_,,,,_blueDark_r,_blueDark_r,,_brownDark_r,,,,,,,,,,,,_brownDark_r,_pink_,,,_blue_,_blueDark_r
-6360,,_blueDark_r,_pink_,,,,_blueDark_r,_blue_,,_blueDark_g,,,,,,,,,,,,_brownDark_r,_brownDark_r,,,_blue_,_blue_
