time to NEB,1i,1ii,4i,4ii,,1i,1ii,2i,2ii,3i,3ii,,1i,1ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii
-8520,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8400,,,,,,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,,,,,,,,,,,,,,
-8280,,,,,,,,_blue_,_blue_,,,,_blue_,_blueDark_r,,,,,,,,,,,_blue_,_blue_,,
-8160,,,,,,,,_blue_,_blue_,,,,_blueDark_r,_brownDark_r,,,,,,,,,,,_blueDark_r,_blue_,,
-8040,,,,,,,,_blue_,_blue_,,,,_blue_,_pink_,,,,,,,,,,,_blueDark_r,_brown_r,,
-7920,,,,,,_blue_,_blueDark_r,_blue_,_blue_,,,,_blueDark_r,_brownDark_r,,,,,,,,,,,_blueDark_r,_brown_r,,
-7800,,,,,,_blueDark_g,_blue_,_blue_,_blue_,,,,_brownDark_r,_brownDark_r,,,,,,,,,,,_blue_,_brown_r,,
-7680,,,,,,_blueDark_g,_blue_,_blue_,_blue_,,,,_brownDark_r,_brownDark_r,,,,,,,,,,,_blue_,_brown_r,,
-7560,,,,,,_blue_,_blue_,_blue_,_blueDark_r,,,,_brownDark_r,_blueDark_r,,,,,,,,,,,_brownDark_r,_blue_,,
-7440,,,,,,_blueDark_g,,_blue_,_blueDark_r,,,,_blueDark_r,_brownDark_r,,,,,,,,,,,_blue_,_blueDark_r,,
-7320,,,,,,_blue_,,_blue_,_blue_,,,,_blueDark_r,_brownDark_r,,,,,,,,,,,_blueDark_r,_blue_,,
-7200,,,,,,,,_brownDark_r,_blue_,,,,_blue_,_blueDark_r,,,,,,,,,,,_blue_,_brown_r,,
-7080,,,,,,_blueDark_g,,_brownDark_r,_blueDark_r,,,,_blueDark_r,_blueDark_r,,,,,,,,,,,_blue_,_blue_,,
-6960,,,,,,_blue_,,_blueDark_r,_blueDark_r,,,,_blue_,_pink_,,,,,,,_blueDark_g,_blueDark_g,,,_blueDark_g,_brownDark_r,,
-6840,,,,,,,,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,,,,,,,_blue_,_blue_,,,_blue_,_brownDark_r,,
-6720,,,,,,,,_brownDark_r,_blueDark_r,,,,_blue_,_brownDark_r,,,,,,,_pink_,_blue_,,,_blue_,_brown_r,,
-6600,,,,,,,,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,,,,,,,_blueDark_r,_blue_,,,_brown_r,_brownDark_r,,
