time to NEB,1,4,5i,5ii,6i,6ii,7i,7ii,8,2,3,4i,4ii,2i,2ii,3,4i,4ii,6i,6ii,10,1i,1ii,2i,2ii,5i,5ii,6,7,8i,8ii,11i,11ii,12,13i,13ii,14i,14ii,15i,15ii
-8520,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brown_r,,,,,,,,,,,,
-8460,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brown_r,,,,,,,,,,,,
-8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,,,,,
-8340,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,,,,,
-8280,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,,,,,
-8220,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,
-8160,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,,,,,
-8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,
-8040,,,,,,,,,,,,,,,,,,,,,,,,,,,,_pink_,,,,,,,,,,,,
-7980,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,,,,,
-7920,,,,,,,,,,,,,,,,,,,,,,,,,,,,_pink_,,,,,,,,,,,,
-7860,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,_blue_,_blue_,,,,
-7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,_blue_,_blue_,,,,
-7740,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,_blueDark_g,_blue_,,,,
-7680,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,_blue_,_blueDark_r,,,,
-7620,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,_blue_,_blue_,,,,
-7560,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,_blue_,_blue_,,,,
-7500,,,,,,,,,_blueDark_r,,,,,,,,,,,,,,,,,,,_pink_,,,,,,_blueDark_g,_blue_,_blue_,,,,
-7440,,,,,,,,,_blue_,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,_blue_,_blue_,_blueDark_r,,,,
-7380,,,,,,,,,_brownDark_r,,,,,,,,,,,,,,,,,,,_pink_,,,,,,_blue_,_blue_,_blue_,,,,
-7320,,,,,,,,,_pink_,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,_blue_,_blueDark_r,_blue_,,,,
-7260,,,,,,,,,_brown_r,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,_blue_,_blueDark_r,_blue_,,,,
-7200,,,,,,,,,_brown_r,,,,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,_blue_,_blue_,,,,
-7140,,,,,,,,,_pink_,,,,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,_brownDark_r,_blueDark_r,,,,
-7080,,,,,,,,,_brown_r,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,_blue_,,,,,,,_blueDark_r,_blueDark_r,,,,
-7020,,,,,,,,,_brown_r,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,_blue_,,,,,,,_blueDark_r,_blue_,,,,
-6960,,,,,,,,,_blue_,,,_blue_,_brownDark_r,,,,,,,,,,,,,,,_blue_,,,,,,,_blueDark_r,_blue_,,,,
-6900,,,,,,,,,_brownDark_r,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,_blue_,,,,,,,_blue_,_blue_,,,,
-6840,,,,,,,,,_blueDark_r,,,_blue_,_blue_,,,,,,,,,,,,,,,_blue_,,,,,,,_blueDark_r,_blueDark_r,,,,
-6780,,,,,,,,,_blue_,,,_blue_,_blue_,,,,,,,,,,,,,,,_blue_,,,,,,,_blueDark_r,_blue_,,,,
-6720,,,,,,,,,_blue_,,,_blue_,_blue_,,,,,,,,,,,,,,,_blue_,,,,,,,_blueDark_r,_blue_,,,,
-6660,,,,,,,,,_blue_,,,_blue_,_blue_,,,,,,,,,,,,,,,_blue_,,,,,,,_blueDark_r,_blue_,,,,
-6600,,,,,,,,,_blueDark_r,,,_blue_,_blue_,,,,,,_blueDark_r,_blue_,,,,,,,,_blue_,,,,,,,_blue_,_blue_,,,_blue_,_brownDark_r
-6540,,,,,,,,,_blueDark_r,,,_blue_,_blue_,,,,,,_brownDark_r,_blue_,,,,,,,,_blue_,,,,,,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_brownDark_r
-6480,,,,,,,,,_blue_,,,_blueDark_r,_blue_,,,,,,_brownDark_r,_blue_,,,,,,,,_blue_,,,,,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-6420,,,,,,,,,_blueDark_r,,,_blue_,_blue_,,,,,,_brownDark_r,_blueDark_r,,,,,,,,_blue_,,,,_blueDark_r,_blueDark_r,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-6360,,,,,,,,,_blueDark_r,,,_brown_r,_brownDark_r,,,,,,_blue_,_blue_,,,,,,,,_blue_,,,,_brownDark_r,_blueDark_r,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_
-6300,,,,,,,,,_brownDark_r,,,_blue_,_blue_,,,,,,_brownDark_r,_blue_,,,,,,,,_blueDark_r,,,,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_
-6240,,,,,,,,,_blueDark_r,,,_brown_r,_brownDark_r,,,,,,_brownDark_r,_blue_,,,,,,,,_brownDark_r,,,,_pink_,_brown_r,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_r
-6180,,,,,,,,,_blueDark_r,,,_blueDark_r,_blue_,,,,,,_brownDark_r,_blue_,,,,,,,,_blue_,,,,_blueDark_r,_blue_,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_r
-6120,,,,,,,,,_blueDark_r,,,_blue_,_blue_,,,,,,_blueDark_r,_blueDark_r,,,,,,,,_brownDark_r,,,,_brownDark_r,_blueDark_r,,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_
-6060,,,,,,,,,_blue_,,,_blue_,_blue_,,,,,,_brownDark_r,_blueDark_g,,,,,,,,_brown_r,,,,_brownDark_r,_blueDark_r,,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_
-6000,,,,,,,,,_blue_,,,_brownDark_r,_blue_,,,,,,_blue_,_pink_,,,,,,,,_brownDark_r,,,,_brownDark_r,_blueDark_r,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_
