time to NEB,1i,1ii,1iii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,1,2i,2ii,3i,3ii,4i,4ii,5,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii,1i,1ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii
-8520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8340,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8280,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8220,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8160,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8100,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8040,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7980,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7920,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7860,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7800,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7740,,,,,,_pink_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7680,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7620,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7560,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7500,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7440,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,_blue_,_pink_,,,,,,,,,_blueDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,,,,
-7380,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,_blue_,_pink_,,,,,,,,,_blueDark_r,_blue_,,,,,,,,,,,_brownDark_r,_blue_,,,,
-7320,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,_blue_,_blueDark_g,,,,,,,,,_brownDark_r,_blue_,,,,,,,,,,,_brownDark_r,_blue_,,,,
-7260,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,_blue_,_pink_,,,,,,,,,_brownDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,,,,
-7200,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,_blueDark_r,_pinkDark_,,,,,,,,,_blue_,_blue_,,,,,,,,,,,_blueDark_r,_blue_,,,,
-7140,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,_blueDark_r,_blueDark_g,,,,,,,,,_blue_,_blue_,,,,,,,,,,,_blue_,_blue_,,,,
-7080,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,_blue_,_blueDark_g,,,,,,,,,_blue_,_blue_,,,,,,,,,,,_blue_,_blue_,,,,
