time to NEB,1i,1ii,1,2,3,1i,1ii,2,3i,3ii,1,2,3,5i,5ii,6i,6ii,1i,1,3,4,5i,1,2i,2ii,4i,4ii,5i,5ii,6i,6ii,1i,1ii,2,3,4,5i,5ii,1,3i,3ii,4,5i,5ii,1i,1ii,3i,3ii,4i,4ii,5i,5ii,6ii,7i,7ii,,
-8640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,_pink_,,,,,,,,,,,,,,,,,,,
-8580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_pink_,,,,,,,,,,,,,,,,,,,
-8520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_g,_blue_,,,,,,,,,,,,,,,,,,,
-8460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,,,,
-8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_pink_,,,,,,,,,,,,,,,,,,,
-8340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,,,,
-8280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blueDark_r,_blueDark_r,,,,,,,,,,,,,,,,,,,
-8220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_brownDark_g,,,,,,,,,,,,,,,,,,,
-8160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,,,,
-8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,
-8040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,
-7980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_blue_,_blueDark_g,,,,,_pink_,_blue_,,,,,,,,,,,,,
-7920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brownDark_r,_blueDark_r,,,,,_brown_r,_blue_,,,,,,,,,,,,,
-7860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_brownDark_r,_blue_,,,,,_blueDark_r,_blue_,,,,,,,,,,,,,
